id,"contentID","videoID","title","date","era","members","blurred","songs","location","summary",views,likes,comments
390,"ep390","COXRirgJqDQ","이달의소녀탐구 #390 (LOONA TV #390)","September 7, 2018","[++]","Olivia Hye, HyunJin, Go Won, Yves, YeoJin","--","Hi High","favOriTe MV Shoot Location","0:02 -- Hyeju, HyunJin, and Yves looks alike and take a selfie. Go Won barges in. HyunJin: “Hey, get out, Park Gowon!” - Go Won: “AH~ Why~”.\n0:19 -- Go Won and HyunJin start “Sse sse sse”. They call this the friendship test. They seem close. Go Won: “No we aren't” and hugs HyunJin.\n0:47 -- Olivia saw it all.",76032,6579,412
391,"ep391","7ZXbBDZ1veI","이달의소녀탐구 #391 (LOONA TV #391)","September 8, 2018","[++]","LOOΠΔ","--","--","favOriTe MV Shoot Location","0:10 -- It's time for LOOΠΔ talent show. It turns into a dance battle soon.\n0:28 -- YeoJin calls out HaSeul for the dance battle.\n0:49 -- HeeJin, HyunJin, and ViVi stand in front of the Love&Live pane.",101243,11370,1538
392,"ep392","lObkNj4xATM","이달의소녀탐구 #392 (LOONA TV #392)","September 10, 2018","[++]","Kim Lip, HeeJin, HyunJin, HaSeul","--","Eclipse","favOriTe MV Shoot Location","Lippie intros with BGM music.\n0:10 -- Kim Lip, HeeJin talk about.\n0:37 -- HyunJin puts Lippie’s blond hair over her hair and tries to go blonde.\n0:52 -- A wild BirdSeul appears.",68160,6735,445
393,"ep393","nf1eg7mIT5U","이달의소녀탐구 #393 (LOONA TV #393)","September 11, 2018","[++]","Kim Lip, Chuu, ViVi","--","Eclipse","favOriTe MV Teaser Shoot Location","Kim Lip does a photoshoot.\n0:32 -- Chuu praises her and imitates her postures.\n0:45 -- Chuu’s palm power blows Kim Lip away. Lippie does the same to Chuu. (They are like anime characters)",76022,7365,528
394,"ep394","jb82S-9EE2I","이달의소녀탐구 #394 (LOONA TV #394)","September 12, 2018","[++]","LOOΠΔ","--","--","favOriTe MV Teaser Shoot Location","A trip down the memory lane of LOONA TV until now. \n5:03 -- Olivia Hye introduces herself very briefly while hidden",59715,6267,256
395,"ep395","dVGmoQ8uCYI","이달의소녀탐구 #395 (LOONA TV #395)","September 13, 2018","[++]","Yves, Kim Lip, JinSoul, YeoJin, HyunJin, ViVi, Chuu, Go Won","--","Valentine Girl","favOriTe MV Teaser Shoot Location","LipVes kick this episode off with a wink.\n0:31 -- JinSoul (while referring to Yves): “She habitually winks!”\n0:37 -- ViVi shows her wink (very slowly). Pan to Go Won who starts winking as well.\n0:53 -- Chuu winks while saying “Rl~ rl~ ㄹ~ ㄹ~...”",60521,6002,343
396,"ep396","DjNtufTClEQ","이달의소녀탐구 #396 (LOONA TV #396)","September 14, 2018","[++]","JinSoul, HaSeul, Yves","--","Singing In The Rain","favOriTe MV Teaser Shoot Location","0:08 -- JinSoul & HaSeul cheer 97s and call Yves to join them.\n0:16 -- HaSeul: “⅓!”, JinSoul: “ODD EYE~”, Yves: “Eden~”. (Did she mock us calling it EDEN or is this legit?)\n0:36 -- JinSoul & HyunJin look similar which is partially the reason why Soul dyed her hair blonde.\n0:55 -- They look at each other in the eye ??.",66461,6393,292
397,"ep397","STopredj8NA","이달의소녀탐구 #397 (LOONA TV #397)","September 15, 2018","[++]","JinSoul, Choerry, HaSeul, YeoJin, All the others","--","Singing In The Rain","favOriTe MV Teaser Shoot Location","It is JinSoul’s shoot time.\n0:22 -- Imitates a Blue Betta.\n0:37 -- YeoJin: “Is she a mermaid? Or a submarine?”\n0:43 -- All start rapping the rap in SiTR.",62184,7202,536
398,"ep398","rRgH6-mhrks","이달의소녀탐구 #398 (LOONA TV #398)","September 17, 2018","[++]","GoWon, Chuu, Yves, Choerry, JinSoul, YeoJin, HaSeul, HyunJin","--","Love Cherry Motion","*Unknown*`","0:02 -- Choerry’s episode of Woomanna was released just before this episode. She makes everyone watch it together.\n0:12 -- They are all watching it together\n0:22 -- After watching the episode, HyunJin feels that Choerry should continue acting. “Just put singing aside and pursue acting.” (Savage!)\n0:31 -- Choerry says some lines from the show and starts talking like an actor.\n0:43 -- GoWon mentions that Choerry should act a little shy and they both start acting.\n0:55 -- They both hide behind flowers. “Peek-a-Boo”",69929,6275,354
399,"ep399","21vn9AM0Wrg","이달의소녀탐구 #399 (LOONA TV #399)","September 18, 2018","[++]","HeeJin, Choerry","--","Love Cherry Motion","--","0:03 -- HeeJin: “Ta-da! Choerry is prepping for her filming.” She pays her a visit. \n0:11 -- Choerry shows HeeJin a heart and HeeJin shows one back (Hee-rry). Choerry then explains her scene to her.\n0:29 -- Hee-rry: “Fighting~!”\n0:41 -- HeeJin praises Choerry and she thinks that she has matured so she should call ‘Choerry unnie’.",63452,5964,386
400,"ep400","ocf19xxoGik","이달의소녀탐구 #400 (LOONA TV #400)","September 19, 2018","[++]","Kim Lip, JinSoul, Go Won, Chuu","--","Eclipse","favOriTe MV Teaser Shoot Location","0:02 -- Lippie doesn’t want the camera to zoom in on her as she feels pressured\n0:10 -- JinSoul (in a childish voice) - “Are you ashamed?”\n0:20 -- ChuuWon start imitating Tamama. Choerry joins them. Lip says that Choerry sounds like a grandmother.\n0:42 -- According to Choerry, she is inseparable from positiveness~\n0:49 -- JinSoul thinks that she is… stupid? (while she shows a thumbs up). But she is in fact proud of her eyebrows.",99133,10598,1088
401,"ep401","k4SKkSq3-8c","이달의소녀탐구 #401 (LOONA TV #401)","September 20, 2018","[++]","Yves, HeeJIn, HaSeul, JinSoul, Choerry","--","new","favOriTe MV Teaser Shoot Location","0:02 -- Yves is teasing the camera. HeeVes appear (dem visuals too strong)\n0:30 -- Yves mentions that HeeJin is wearing Yves’ ‘new’ dress and she is wearing HyunJin’s dress. HaSeul brags about wearing new clothes. (This could mean something HMMM? ??)\n0:54 -- MemeSoul: “We are all wearing white. It looks like we are all in the same group. Wait… we are.”",77667,6914,349
402,"ep402","vEawWOP6c-w","이달의소녀탐구 #402 (LOONA TV #402)","September 21, 2018","[++]","Yves, Choerry, ViVi","--","new","favOriTe MV Teaser Shoot Location","Episode kicks off with Yves doing her scene for the teaser.\n0:19 -- ViVi, Choerry: “HI~ Choerry~ ViVi~ imnida~ imbinida~>”\n0:44 -- Yves makes eye contact with the camera. Choerry PD: “Oh! She made my heart flutter. (Same ❤)\n0:55 -- ViVi assures Yves that ot will come out well.",66718,6161,329
403,"ep403","Ms8QBNNOK9g","이달의소녀탐구 #403 (LOONA TV #403)","September 22, 2018","[++]","Chuu, Choerry, HyunJin, HeeJin","--","Heart Attack","favOriTe MV Teaser Shoot Location","0:03 -- Choerry feels like a Banana milk commercial will fit her. Chuu does chuu stuff.\n0:10 -- Chuu smashes her face onto HyunJin’s shoulder. HyunJin: “I think ice cream commercial will suit you.” Chuu does chuu stuff… (go check it out, she is cute~)\n0:50 -- HeeJin and Chuu talk about Chuu’s concept. She can’t believe that Chuu is older than her. HeeJin: “Chuu unnie~”. Chuu: “It’s Chuu~”",70916,6676,352
404,"ep404","kTaiO27oXic","이달의소녀탐구 #404 (LOONA TV #404)","September 27, 2018","[++]","HaSeul, HeeJin, HyunJin, YeoJin, ViVi, Kim Lip, JinSoul, Choerry,","--","Girl Front","favOriTe MV Teaser Shoot Location","HaSeul PD visits all the members of LOOΠΔ one- by-one\n0:18 -- While referring to YeoJin: “Number 4, kid?”. YeoJin: “What kid?”\n0:24 -- While referring to Kim Lip: “Oh you look sexy~”\n0:44 -- HaSeul looks for Go Won but she went to fix her make up. *drum rolls (YeoJin style): dugugugu*\n0:51 -- HaSeul: “Number 12!”. Olivia Hye: “End Number!”\nI guess we won’t need the ‘Blurred Girls’ section anymore.",64909,6285,231
405,"ep405","B2BulbH5T1g","이달의소녀탐구 #405 (LOONA TV #405)","September 28, 2018","[++]","Go Won, HeeJin, Choerry","--","--","favOriTe MV Teaser Shoot Location","0:02 -- Go Won imitates HeeJin and Choerry.\n0:16 -- The three imitate Chuu.\n0:27 -- Chuu is filming her part. Choerry imitates her while monitoring her through a TV.\n0:39 -- HeeJin imitates Chuu. Go Won, Choerry imitate HeeJin imitating Chuu. (Imitaception).\n0:44 -- ....",59914,5933,249
406,"ep406","Xr2b9oZrbTw","이달의소녀탐구 #406 (LOONA TV #406)","September 29, 2018","[++]","Go Won, Choerry, JinSoul, HeeJin; YeoJin (off-camera)","--","One & Only","favOriTe MV Teaser Shoot Location","0:10 -- Go Won and Choerry have a small graceful tea time.\n0:24 -- Go Won will be filming next (after Chuu) and she thinks she will have a great time. Choerry goes on and flatters her more.\n0:44 -- YeoJin PD takes over and (inexperiencedly) she holds that camera at a weird angle while filming Go Won. She goes on to compliment her, then JinSoul and HeeJin.",61273,5656,229
407,"ep407","JsMiiUd2BgE","이달의소녀탐구 #407 (LOOΠΔ TV #407)","October 3, 2018","[++]","Go Won, Choerry, JinSoul, HeeJin; YeoJin (off-camera)","--","One & Only","favOriTe MV Teaser Shoot Location","0:03 -- HeeJin zooms the camera on to Go Won as she makes poses.\n0:10 -- JinSoul makes a memeable face at the camera\n0:14 -- Kim Lip joins them and... WHAM! A wild Yves appears.\n0:20 -- Choerry and Go Won fiddle with the camera while testing the mic. \n0:48 -- They find a flower from the floor and Choerry picks it up acting surprised. (She did it)",59102,5921,330
408,"ep408","VUFT5-YfIP0","이달의소녀탐구 #408 (LOONA TV #408)","October 4, 2018","[++]","Go Won, HeeJin, JinSoul, Kim Lip, Yves, Choerry","--","One & Only","favOriTe MV Teaser Shoot Location","0:03 -- HeeJin zooms the camera on to Go Won as she makes poses.\n0:10 -- JinSoul makes a memeable face at the camera\n0:14 -- Kim Lip joins them and... WHAM! A wild Yves appears.\n0:20 -- Choerry and Go Won fiddle with the camera while testing the mic. \n0:48 -- They find a flower from the floor and Choerry picks it up acting surprised. (She did it)",62966,6388,392
